index;name;etype;from_bus;to_bus;length_km;r_ohm_per_km;x_ohm_per_km;c_nf_per_km ;max_i_ka;parallel;type;in_service
400321;ИРИКЛИНСКАЯ ГРЭС - МАГНИТОГОРСКАЯ;line;4790;4785;1;6.8;66;2.705635;10;1;ol;FALSE
400322;Урожайная - Барнаул-220;line;1673;1640;1;26.5;103.7;8.3620037;10;1;ol;TRUE
400323;Заречная - Центральная;line;596;593;1;0.8000000119;3.6600000858;0.0719380577;10;1;ol;FALSE
400324;Чилисай - Ульке-220;line;3019;3020;1;17.1000003815;61.4700012207;1.1694709515;10;1;ol;TRUE
400325;Есиль - Чернозубовка;line;170;186;1;12.39;44.54;0.847468544;10;1;ol;FALSE
400326;КОКЧЕТАВСКАЯ - КОСТАНАЙСКАЯ;line;175;590;1;5.02;106.96;5.5608757;10;1;ol;FALSE
400327;АГАДЫРЬ-500 - ЭКИБАСТУЗСКАЯ;line;469;26;1;11.6000003815;138.3000030518;5.5939799207;10;1;ol;FALSE
400328;эгрэс-1 - Бощак(T);line;39;59;1;9.69;40.78;0.8785356;10;1;ol;FALSE
400329;эгрэс-1 - Бощак(T);line;39;59;1;7.8800001144;34.5;0.6760904465;10;2;ol;FALSE
400330;ЭГРЭС-1-500 - ТАВРИЧЕСКАЯ;line;25;1817;1;11.8000001907;108.1999969482;4.5836640695;10;1;ol;FALSE
400331;Коунрад-220 - Актогай-220;line;481;483;1;36.5999984741;154.8000030518;3.2540830806;10;1;ol;FALSE
400332;Коунрад-220 - Актогай-220;line;481;483;1;36.5999984741;154.8000030518;3.2540830806;10;2;ol;TRUE
