name;index;v_kv;degU;countG;Pg;Qg;Pl;Ql
ПС 500 кВ Аврора - СШ 220 кВ;148;232.79;-0.01;-0.01;-0.01;-0.01;-9.22;-44.38
ПС 220 кВ Макинск - СШ 220 кВ ;150;232.99;-0.01;-0.01;-0.01;-0.01;35.77;8.20
ПС 220 кВ Степная - СШ 220 кВ ;151;230;-0.01;-0.01;59.00 ;18.00;-0.01;-0.01
Токтогульская ГЭС - СШ 500 кВ ;2921 ;504;-0.01;-0.01;474;54.00;-0.01;-0.01
ПС 220 кВ Янко (т) - СШ 220 кВ;153;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Буран - СШ 220 кВ ;173;236.11;-0.01;-0.01;-0.01;-0.01;5.12 ;1.65
ПС 220 кВ Уголки (т) - СШ 220 кВ;156;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Куйбышевская - СШ 220 кВ;157;236.51;-0.01;-0.01;-0.01;-0.01;8.37 ;-2.41 
ПС 1150 кВ Кокшетауская - СШ 220 кВ ;176;234;-0.01;-0.01;-0.01;-0.01;53.43;28.54 
ПС 220 кВ Перекатная (т) - СШ 220 кВ;172;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Курган - СШ 500 кВ;4727 ;513;-0.01;-0.01;-0.01;-0.01;-20.00 ;86.70 
ПС 500 кВ Шу - СШ 500 кВ;9932 ;511.53;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Смеловская - СШ 500 кВ;10003;512.14;-0.01;-0.01;-0.01;-0.01;177.35 ;98.91 
ПС 220 кВ БГОК - СШ 220 кВ;62 ;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Коян-коз - СШ 220 кВ;953;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
Шымкентская ТЭЦ-3 - СШ 220 кВ ;813;-0.01;-0.01;-0.01;0 ;-0.01;-0.01;-0.01
ПС 500 кВ Барнаульская - СШ 220 кВ;1640 ;231.13;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ РУ-6 - СШ 220 кВ;869;229.25;-0.01;-0.01;-0.01;-0.01;45.76;5.09
ПС 500 кВ Актогай - СШ 500 кВ ;986;516.92;-0.01;-0.01;-0.01;0;-0.01;-0.01
Мойнакская ГЭС - СШ 220 кВ;935;236.51;-0.01;-0.01;-0.35 ;-0.01;-0.01;-0.01
ПС 1150 кВ Алтай - СШ 500 кВ;1660 ;515.41;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Рубцовская - СШ 220 кВ;1622 ;238.97;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Барабинская - СШ 500 кВ ;9917 ;515.3;-0.01;-0.01;-0.01;-149.2;-0.01;-0.01
ПС 500 кВ Курчатовская - СШ 500 кВ;10002;509.11;-0.01;-0.01;867.2;184.07 ;-0.01;-0.01
ПС 500 кВ Исеть - СШ 500 кВ ;10001;509.53;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ВЭС Ерейментау - СШ 220 кВ;155;234.06;-0.01;-0.01;-0.01;-0.01;-0.84;0 
СЭС Бурное - СШ 220 кВ;810;236.26;-0.01;-0.01;-0.01;-0.01;0;0 
